Place  Team                                        Score
1      UTC                                         3755
2      NASA Rejects                                3755
3      WreckTheLine                                3755
4      perfect blue                                3755
5      InfoSecIITR                                 3755
6      OpenToAll                                   3755
7      kainashi                                    3755
8      Nyx                                         3755
9      FireShell                                   3305
10     zer0pts                                     3255
11     HackingForSoju                              3155
12     BisonSquad                                  3055
13     Ninjas                                      2605
14     HTsP                                        2405
15     ISITDTU                                     2155
16     KTHCTF0x1                                   2105
17     justCatTheFish_                             2005
18     Zemows Industries                           2005
19     Kernel Sanders                              1955
20     pwnhack                                     1855
21     voidka                                      1830
22     Invaders                                    1755
23     dcua                                        1755
24     TU6PM                                       1730
25     Shallow-Fried Soy Winter Vegetables         1705
26     isaac21259                                  1650
27     Pwnium                                      1600
28     Sice Squad                                  1600
29     NYUSEC                                      1555
30     cr3sc3ndo                                   1455
31     reznick                                     1255
32     CTD Elite                                   1230
33     noraneco                                    1205
34     dotsu                                       1175
35     BawlSec                                     1175
36     WCSC                                        1155
37     Shiwoya                                     1155
38     UnKnoWnCheaTs                               1130
39     x0r19x91                                    1130
40     kada                                        1130
41     Omniscients                                 1105
42     hackstreetboys                              1080
43     shellpwn                                    1080
44     TimberOwls                                  1055
45     BreakPoint                                  980
46     Hackiit                                     930
47     wowie                                       855
48     Init 5                                      855
49     Skerhetskontoret                            850
50     C7                                          830
51     hhro                                        825
52     b01lers                                     805
53     liwl23                                      800
54     Vesemir                                     800
55     JHDiscord                                   780
56     Defenit                                     780
57     dohki                                       755
58     admin'                                      730
59     SDSLabs                                     730
60     crandyman                                   705
61     kais                                        705
62     Deadlock Team                               680
63     #MongolianEmpire                            675
64     ttz                                         655
65     Knight                                      655
66     GR00T5                                      655
67     Djavaa                                      630
68     Wunderleth                                  630
69     ASIS                                        630
70     c2w2m2                                      625
71     $wag                                        605
72     ker                                         605
73     Titanium Beagle                             605
74     cait-sith                                   605
75     sherrrrr                                    600
76     flexerilla                                  555
77     nahoragg                                    555
78     nanocomp                                    555
79     ALLES                                       555
80     PwnaSonic                                   550
81     ConanC                                      550
82     Team_M                                      530
83     KUDoS                                       530
84     infursec                                    525
85     Secu                                        505
86     Isaac                                       505
87     epist                                       505
88     Team Bagel                                  505
89     teaminfinity                                505
90     wangjr                                      500
91     Hackability                                 500
92     posix                                       500
93     /unsubscribe                                480
94     ByteForc3                                   480
95     SealTeam1                                   480
96     VadSomHelst                                 455
97     2ndT3am                                     455
98     badfirmware                                 455
99     asfawf                                      455
100    BA$HERS                                     430
101    hax                                         430
102    chickishwo                                  425
103    USCGACyber                                  405
104    sqrtrev                                     405
105    Oneirologists                               405
106    Toastless                                   405
107    Tinfoil Hat                                 405
108    dwn                                         400
109    srikavin                                    400
110    TABs                                        400
111    hungry_heap-o                               400
112    TuzHack                                     380
113    lamb                                        380
114    C521                                        375
115    HACK_SOSA                                   355
116    NISRA                                       355
117    milkshake                                   355
118    snow                                        355
119    TahSec                                      355
120    beerpwn                                     355
121    TopWing                                     355
122    mazala                                      350
123    RD                                          350
124    bound7                                      350
125    Cybernatural                                350
126    alonctfaccount                              350
127    fhg                                         350
128    fargate                                     350
129    r3billions                                  330
130    kage                                        330
131    Heaven_Hellpline                            305
132    ash3r                                       305
133    bbdog                                       305
134    h4rlock                                     305
135    cookie-monstar                              305
136    Quasar.B                                    305
137    Specter                                     305
138    anonsurf                                    305
139    Illuminati33                                305
140    rawsec                                      305
141    OzzY                                        305
142    IHP&C                                       300
143    OneMan                                      300
144    0xec                                        300
145    dessert                                     300
146    boys_anilar                                 300
147    b3rp                                        300
148    ???????bot                                  280
149    hack@unhcfreg                               280
150    $pAranH@kr                                  280
151    kiedis                                      255
152    yes                                         255
153    acdwas                                      255
154    gorogoroumaru                               255
155    onotch                                      255
156    chanjun                                     255
157    dannylockard                                255
158    nongmo                                      255
159    4eriri                                      250
160    Billy                                       250
161    s0l0m4n                                     250
162    jt00                                        250
163    n132                                        250
164    nop                                         250
165    cby234                                      250
166    NGA                                         250
167    wuliuliu                                    250
